Date,Category,Subcategory,Location,Value
03/02/2016,Electronics,TV,Location 5, 961.66 
25/05/2016,Plumber,Toilet And Sanitary Work,Location 4, 636.46 
28/05/2016,Carpenter,Furniture Repair/replacement,Location 2, 278.34 
15/02/2016,Carpenter,Furniture Repair/replacement,Location 9, 443.41 
15/05/2016,Electronics,Computer,Location 8, 229.29 
15/03/2016,Plumber,Bathroom Fittings,Location 6, 827.45 
22/05/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 69.49 
02/02/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 979.92 
30/06/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 482.22 
25/05/2016,Electrician,"Switches, Meters and Fuses",Location 2, 138.94 
06/04/2016,Electronics,Computer,Location 7, 148.66 
19/05/2016,Plumber,Leakage,Location 10, 297.52 
26/06/2016,Plumber,Bathroom Fittings,Location 2, 694.11 
22/03/2016,Electrician,Other Lights,Location 9, 978.02 
15/04/2016,Waste Management,Disposal,Location 8, 300.84 
28/05/2016,Flooring,Stone & Tile Restoration,Location 9, 849.19 
01/05/2016,Plumber,Choke Up,Location 3, 119.49 
26/01/2016,Appliances,UPS,Location 2, 599.27 
07/06/2016,Plumber,Bathroom Fittings,Location 3, 987.21 
23/06/2016,Appliances,Microwave Oven Repair,Location 1, 985.43 
25/03/2016,Electrician,"Switches, Meters and Fuses",Location 7, 659.06 
05/06/2016,Appliances,Microwave Oven Repair,Location 8, 114.57 
26/03/2016,Carpenter,Furniture Installation and assembly,Location 4, 859.78 
12/03/2016,Plumber,Bathroom Fittings,Location 10, 980.75 
27/05/2016,Plumber,Toilet And Sanitary Work,Location 1, 559.43 
22/03/2016,Electronics,Mobile,Location 4, 974.20 
28/03/2016,Plumber,Pipelines And Pumps,Location 2, 684.82 
18/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 10, 66.17 
05/03/2016,Plumber,Pipelines And Pumps,Location 1, 419.74 
13/02/2016,Electrician,Fancy Lights,Location 1, 857.70 
02/07/2016,Carpenter,Bolt And Latch,Location 6, 236.21 
02/04/2016,Appliances,Water Purifier,Location 5, 656.03 
09/05/2016,Carpenter,General Carpentry Work,Location 8, 262.55 
01/03/2016,Lawn and Garden,Landscaping,Location 6, 614.22 
19/06/2016,Carpenter,General Carpentry Work,Location 5, 570.42 
19/06/2016,Electrician,Wiring,Location 1, 555.52 
05/05/2016,Electrician,"Switches, Meters and Fuses",Location 10, 712.95 
10/02/2016,Pest Control,Ant Control,Location 1, 831.82 
24/03/2016,Waste Management,Disposal,Location 7, 510.68 
16/05/2016,Electrician,"Switches, Meters and Fuses",Location 4, 410.11 
12/04/2016,Plumber,Leakage,Location 9, 632.27 
05/05/2016,Electronics,Mobile,Location 3, 537.57 
05/05/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 933.22 
16/02/2016,Painter,Texture Painting,Location 6, 960.83 
11/04/2016,Electronics,Computer,Location 4, 907.63 
27/06/2016,Caterer/Cook,Catering,Location 7, 686.61 
07/03/2016,Electrician,Light Sockets/Holders,Location 4, 55.06 
26/03/2016,Painter,Regular Painting,Location 2, 429.42 
22/05/2016,Pest Control,Rat Control,Location 6, 594.34 
29/02/2016,Carpenter,General Carpentry Work,Location 3, 360.65 
12/06/2016,Plumber,Leakage,Location 4, 492.25 
07/07/2016,Carpenter,Bolt And Latch,Location 7, 311.14 
03/07/2016,Plumber,Pipelines And Pumps,Location 3, 413.07 
31/03/2016,Transportation,Car,Location 2, 837.97 
20/04/2016,Carpenter,Furniture Installation and assembly,Location 7, 908.40 
08/02/2016,Carpenter,General Carpentry Work,Location 1, 948.25 
25/04/2016,Plumber,Toilet And Sanitary Work,Location 3, 8.77 
09/02/2016,Appliances,Refrigerator Repair,Location 6, 597.04 
25/03/2016,Painter,Regular Painting,Location 9, 646.50 
27/03/2016,Carpenter,Bolt And Latch,Location 7, 383.15 
13/04/2016,Appliances,Water Purifier,Location 9, 934.03 
21/04/2016,Carpenter,Bolt And Latch,Location 6, 900.36 
26/02/2016,Plumber,Toilet And Sanitary Work,Location 4, 41.66 
12/06/2016,Plumber,Choke Up,Location 8, 967.35 
08/03/2016,Electrician,Tube Lights,Location 1, 755.31 
13/02/2016,Carpenter,General Carpentry Work,Location 4, 501.87 
21/06/2016,Electronics,Computer,Location 4, 40.15 
12/02/2016,Appliances,Water Purifier,Location 4, 192.26 
19/05/2016,Pest Control,Termite Control,Location 9, 775.37 
16/05/2016,Security,Security Guard,Location 3, 933.38 
29/03/2016,Electrician,"Switches, Meters and Fuses",Location 9, 439.50 
22/06/2016,Electronics,Computer,Location 7, 324.50 
14/04/2016,Electronics,Printer,Location 4, 129.56 
05/02/2016,Electronics,Mobile,Location 2, 358.89 
27/03/2016,Electronics,TV,Location 7, 537.84 
14/05/2016,Plumber,Leakage,Location 6, 376.50 
29/02/2016,Lawn and Garden,Gardening,Location 8, 62.82 
15/05/2016,Painter,Regular Painting,Location 10, 342.06 
13/04/2016,Plumber,Bathroom Fittings,Location 4, 917.05 
17/05/2016,Plumber,Bathroom Fittings,Location 4, 236.17 
21/02/2016,Security,Security Guard,Location 9, 676.99 
06/02/2016,Carpenter,Furniture Repair/replacement,Location 3, 69.66 
05/06/2016,Plumber,Choke Up,Location 4, 324.56 
22/04/2016,Electrician,Wiring,Location 4, 241.33 
02/02/2016,Electronics,Mobile,Location 10, 967.64 
15/02/2016,Carpenter,General Carpentry Work,Location 9, 59.09 
27/06/2016,Plumber,Pipelines And Pumps,Location 2, 506.68 
07/03/2016,Painter,Regular Painting,Location 6, 261.72 
25/01/2016,Appliances,Refrigerator Repair,Location 4, 207.04 
09/03/2016,Pest Control,Mosquito Control,Location 10, 18.02 
29/04/2016,Carpenter,General Carpentry Work,Location 7, 869.29 
17/02/2016,Painter,Regular Painting,Location 10, 296.33 
05/02/2016,Records Management,Digital Imaging,Location 2, 702.22 
26/03/2016,"Fire, Life, and Safety",Fire Extinguishers,Location 9, 758.25 
25/05/2016,Electrician,"Switches, Meters and Fuses",Location 9, 330.89 
27/01/2016,Pest Control,Ant Control,Location 2, 26.66 
17/05/2016,Pest Control,Ant Control,Location 10, 772.28 
04/03/2016,Carpenter,Furniture Repair/replacement,Location 6, 574.98 
14/03/2016,Electronics,Mobile,Location 7, 477.90 
29/02/2016,Pest Control,Mosquito Control,Location 6, 614.08 
03/06/2016,Electrician,Other Lights,Location 7, 373.58 
13/02/2016,Appliances,Water Purifier,Location 6, 37.10 
01/05/2016,Plumber,Toilet And Sanitary Work,Location 7, 583.27 
08/03/2016,Testing,Food Test,Location 8, 251.05 
12/04/2016,Pest Control,Termite Control,Location 3, 897.31 
07/03/2016,Carpenter,Bolt And Latch,Location 3, 222.93 
07/02/2016,Carpenter,Furniture Repair/replacement,Location 2, 238.44 
12/03/2016,Plumber,Choke Up,Location 8, 33.28 
17/03/2016,Electronics,TV,Location 7, 686.60 
16/06/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 597.84 
25/02/2016,Plumber,Bathroom Fittings,Location 6, 583.08 
28/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 949.32 
13/03/2016,Painter,Regular Painting,Location 9, 637.58 
03/05/2016,Appliances,Water Purifier,Location 3, 326.17 
09/02/2016,Pest Control,Rat Control,Location 5, 751.81 
21/04/2016,Carpenter,Furniture Repair/replacement,Location 5, 58.87 
05/06/2016,Carpenter,Furniture Installation and assembly,Location 10, 515.94 
08/02/2016,Painter,Texture Painting,Location 5, 153.47 
03/02/2016,Electrician,Fans,Location 4, 771.96 
02/03/2016,Electrician,Thermography,Location 1, 296.70 
30/01/2016,Records Management,Digital Imaging,Location 7, 5.12 
13/05/2016,Electronics,Computer,Location 7, 416.19 
30/01/2016,Carpenter,General Carpentry Work,Location 2, 680.75 
18/04/2016,Electrician,Wiring,Location 5, 542.38 
12/03/2016,Appliances,Water Purifier,Location 6, 143.36 
03/03/2016,Appliances,Microwave Oven Repair,Location 8, 992.94 
03/07/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 333.09 
19/05/2016,"Fire, Life, and Safety",Fire Extinguishers,Location 2, 383.34 
08/06/2016,Electronics,Computer,Location 8, 725.68 
26/04/2016,Plumber,Leakage,Location 1, 894.76 
10/04/2016,Records Management,Media Management,Location 1, 864.96 
30/03/2016,Carpenter,Furniture Repair/replacement,Location 5, 276.54 
20/03/2016,Electronics,Computer,Location 7, 93.84 
13/02/2016,Appliances,Water Purifier,Location 2, 713.29 
05/03/2016,Carpenter,Bolt And Latch,Location 9, 138.17 
22/02/2016,Plumber,Bathroom Fittings,Location 1, 14.12 
24/02/2016,Lawn and Garden,Landscaping,Location 4, 83.04 
22/05/2016,Pest Control,Wood Borer Control,Location 4, 334.45 
03/06/2016,Painter,Regular Painting,Location 10, 5.44 
12/02/2016,Carpenter,General Carpentry Work,Location 1, 944.80 
11/06/2016,Electrician,"Switches, Meters and Fuses",Location 3, 95.02 
03/05/2016,Plumber,Bathroom Fittings,Location 8, 241.13 
08/05/2016,Security Systems,Access Control,Location 1, 497.31 
27/01/2016,Plumber,Leakage,Location 8, 314.13 
07/06/2016,Electronics,Computer,Location 7, 805.99 
02/07/2016,Plumber,"Tap, Wash basin and Sink",Location 4, 788.54 
19/03/2016,Appliances,Water Purifier,Location 1, 369.71 
01/04/2016,Appliances,Water Purifier,Location 9, 440.37 
27/05/2016,Painter,Regular Painting,Location 5, 921.31 
06/02/2016,Electronics,Printer,Location 2, 636.98 
30/06/2016,Electrician,Light Sockets/Holders,Location 5, 817.65 
24/01/2016,Plumber,Bathroom Fittings,Location 1, 292.73 
02/05/2016,Appliances,Refrigerator Repair,Location 6, 59.15 
13/04/2016,Plumber,Bathroom Fittings,Location 7, 414.76 
16/04/2016,Plumber,"Tap, Wash basin and Sink",Location 4, 419.65 
11/03/2016,Plumber,Leakage,Location 5, 575.15 
23/05/2016,Carpenter,Furniture Installation and assembly,Location 6, 736.49 
25/05/2016,Plumber,Leakage,Location 2, 424.40 
09/04/2016,Electrician,Light Sockets/Holders,Location 7, 261.31 
12/03/2016,Pest Control,Bed Bug Control,Location 10, 53.30 
11/06/2016,Electrician,"Switches, Meters and Fuses",Location 8, 360.43 
09/04/2016,Transportation,Car,Location 4, 533.84 
19/03/2016,Electrician,Fans,Location 5, 37.76 
11/05/2016,Electrician,Other Lights,Location 2, 422.12 
02/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 5, 586.55 
13/06/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 519.05 
16/06/2016,Plumber,Choke Up,Location 9, 248.43 
27/06/2016,Plumber,Water Tank,Location 10, 55.31 
22/02/2016,Painter,Texture Painting,Location 3, 560.51 
17/04/2016,Painter,Texture Painting,Location 6, 567.28 
28/03/2016,Plumber,Choke Up,Location 8, 801.67 
08/03/2016,Cleaning,Furniture and Furnishings,Location 5, 160.60 
04/05/2016,Carpenter,Furniture Installation and assembly,Location 6, 803.99 
01/04/2016,Carpenter,General Carpentry Work,Location 8, 31.60 
26/05/2016,Electrician,Fans,Location 9, 312.84 
19/03/2016,Plumber,Choke Up,Location 10, 513.02 
06/04/2016,Plumber,Leakage,Location 1, 613.59 
07/03/2016,Plumber,Choke Up,Location 10, 90.64 
19/02/2016,Plumber,Bathroom Fittings,Location 5, 263.14 
29/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 8, 292.60 
02/03/2016,Appliances,Microwave Oven Repair,Location 1, 9.29 
25/05/2016,Plumber,Bathroom Fittings,Location 6, 231.31 
22/05/2016,Pest Control,Mosquito Control,Location 5, 495.25 
21/03/2016,Pest Control,Rat Control,Location 1, 391.03 
23/03/2016,Carpenter,Bolt And Latch,Location 6, 197.27 
22/04/2016,Electrician,Other Lights,Location 10, 555.85 
20/04/2016,Appliances,Microwave Oven Repair,Location 6, 718.09 
13/05/2016,Plumber,Leakage,Location 1, 167.39 
28/03/2016,Pest Control,Cockroach Control,Location 4, 507.73 
16/06/2016,Plumber,Leakage,Location 1, 974.87 
01/03/2016,Carpenter,Furniture Repair/replacement,Location 7, 488.52 
23/02/2016,"Fire, Life, and Safety",Fire Alarm System,Location 8, 387.30 
21/02/2016,Carpenter,Bolt And Latch,Location 3, 664.71 
29/06/2016,Appliances,Refrigerator Repair,Location 5, 14.98 
18/02/2016,Electronics,Mobile,Location 10, 436.10 
29/04/2016,Appliances,Water Purifier,Location 9, 610.69 
14/06/2016,Electrician,"Switches, Meters and Fuses",Location 10, 123.86 
19/04/2016,Plumber,Pipelines And Pumps,Location 8, 510.42 
16/06/2016,Carpenter,Bolt And Latch,Location 10, 840.84 
09/03/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 766.96 
13/02/2016,Lawn and Garden,Gardening,Location 5, 979.38 
23/06/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 89.55 
26/01/2016,Cleaning,Office,Location 1, 702.93 
29/02/2016,Testing,Air Test,Location 2, 669.83 
27/03/2016,Plumber,Choke Up,Location 2, 53.20 
11/03/2016,Painter,Texture Painting,Location 6, 559.82 
02/04/2016,Electronics,Computer,Location 5, 121.14 
10/04/2016,Electronics,TV,Location 9, 885.88 
16/02/2016,Carpenter,Bolt And Latch,Location 9, 775.18 
30/04/2016,Plumber,Leakage,Location 5, 385.45 
10/03/2016,Plumber,Bathroom Fittings,Location 2, 161.47 
25/03/2016,Appliances,Refrigerator Repair,Location 6, 316.08 
24/01/2016,Carpenter,Furniture Repair/replacement,Location 1, 727.46 
29/02/2016,Plumber,"Tap, Wash basin and Sink",Location 4, 631.27 
12/02/2016,Electrician,Tube Lights,Location 1, 244.52 
01/02/2016,Appliances,Microwave Oven Repair,Location 6, 654.03 
15/03/2016,Plumber,Bathroom Fittings,Location 9, 720.17 
13/06/2016,Lawn and Garden,Landscaping,Location 1, 830.66 
28/01/2016,Electrician,Fans,Location 4, 815.43 
03/03/2016,Electrician,Fans,Location 2, 860.42 
23/02/2016,Appliances,Water Purifier,Location 4, 297.16 
13/05/2016,Electronics,Projector,Location 8, 867.42 
24/02/2016,Pest Control,Ant Control,Location 5, 788.60 
02/06/2016,Transportation,Mini Tempo,Location 5, 394.89 
07/07/2016,Appliances,Microwave Oven Repair,Location 2, 230.16 
06/07/2016,Plumber,Choke Up,Location 8, 471.48 
05/03/2016,Electrician,"Switches, Meters and Fuses",Location 9, 88.72 
09/03/2016,Painter,Texture Painting,Location 7, 87.01 
01/04/2016,Carpenter,Furniture Repair/replacement,Location 4, 971.96 
04/07/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 641.27 
13/03/2016,Pest Control,Cockroach Control,Location 7, 841.16 
13/05/2016,Pest Control,Termite Control,Location 3, 343.10 
17/03/2016,Electronics,Computer,Location 6, 212.56 
20/02/2016,Security Systems,Door Lock Systems,Location 2, 113.09 
18/06/2016,Plumber,Leakage,Location 10, 506.76 
06/06/2016,Electrician,Fans,Location 4, 920.14 
19/02/2016,Carpenter,Furniture Repair/replacement,Location 4, 737.47 
21/03/2016,Plumber,Bathroom Fittings,Location 3, 712.57 
28/05/2016,Plumber,Bathroom Fittings,Location 6, 229.38 
06/06/2016,Waste Management,Disposal,Location 8, 271.70 
07/05/2016,Appliances,Water Purifier,Location 3, 189.73 
24/01/2016,Carpenter,Furniture Repair/replacement,Location 8, 107.08 
27/01/2016,Electrician,"Switches, Meters and Fuses",Location 2, 279.92 
12/02/2016,Carpenter,General Carpentry Work,Location 9, 243.23 
06/02/2016,Carpenter,Furniture Installation and assembly,Location 5, 473.92 
25/03/2016,Carpenter,Bolt And Latch,Location 7, 848.19 
01/04/2016,Plumber,Pipelines And Pumps,Location 4, 109.91 
07/05/2016,Plumber,Bathroom Fittings,Location 2, 653.63 
09/03/2016,Pest Control,Bed Bug Control,Location 3, 197.75 
19/05/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 316.45 
14/03/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 826.59 
04/05/2016,Cleaning,Office,Location 9, 482.92 
08/02/2016,Records Management,Secure Document Destruction,Location 8, 795.23 
09/05/2016,Carpenter,Furniture Repair/replacement,Location 2, 950.77 
16/04/2016,Plumber,Toilet And Sanitary Work,Location 10, 116.10 
24/02/2016,Plumber,Leakage,Location 5, 748.91 
06/02/2016,Security Systems,CCTV,Location 2, 774.00 
22/05/2016,Plumber,Bathroom Fittings,Location 8, 904.96 
23/03/2016,Plumber,Choke Up,Location 9, 853.41 
15/05/2016,Painter,Texture Painting,Location 10, 390.89 
08/02/2016,Electronics,Computer,Location 6, 22.58 
15/06/2016,Appliances,Water Purifier,Location 2, 867.44 
13/02/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 476.88 
03/05/2016,Electrician,"Switches, Meters and Fuses",Location 9, 689.62 
30/05/2016,Electronics,Computer,Location 1, 702.51 
09/03/2016,Electronics,TV,Location 4, 429.06 
08/04/2016,Electrician,"Switches, Meters and Fuses",Location 2, 236.84 
16/04/2016,Carpenter,Furniture Repair/replacement,Location 6, 743.45 
25/06/2016,Pest Control,Cockroach Control,Location 7, 506.95 
20/03/2016,Carpenter,General Carpentry Work,Location 3, 577.18 
26/02/2016,Lawn and Garden,Gardening,Location 1, 189.50 
31/05/2016,Plumber,Toilet And Sanitary Work,Location 4, 728.28 
10/02/2016,Pest Control,Mosquito Control,Location 4, 676.36 
22/05/2016,Plumber,Choke Up,Location 3, 527.97 
05/06/2016,Plumber,Bathroom Fittings,Location 3, 198.94 
27/04/2016,Plumber,Choke Up,Location 2, 877.60 
31/01/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 6, 190.70 
21/02/2016,Plumber,Choke Up,Location 3, 264.98 
22/02/2016,Electronics,Computer,Location 7, 747.98 
22/04/2016,Carpenter,Furniture Repair/replacement,Location 1, 592.73 
07/04/2016,Security,Security Guard,Location 8, 780.86 
14/05/2016,Electrician,Fans,Location 10, 999.01 
26/06/2016,Electronics,Computer,Location 2, 725.62 
02/06/2016,Carpenter,Furniture Repair/replacement,Location 7, 536.90 
29/05/2016,Electrician,Tube Lights,Location 1, 66.81 
24/05/2016,Appliances,Dishwasher,Location 9, 25.51 
26/06/2016,Plumber,Toilet And Sanitary Work,Location 6, 328.55 
02/07/2016,Plumber,Bathroom Fittings,Location 4, 458.50 
19/06/2016,Waste Management,Recycle,Location 7, 953.61 
07/05/2016,Pest Control,Bed Bug Control,Location 4, 740.49 
26/01/2016,Plumber,Bathroom Fittings,Location 6, 547.99 
12/05/2016,Pest Control,Mosquito Control,Location 9, 370.95 
23/05/2016,Electronics,Mobile,Location 3, 656.41 
06/05/2016,"Fire, Life, and Safety",Fire Alarm System,Location 4, 164.54 
12/03/2016,Electronics,Computer,Location 8, 615.60 
23/03/2016,Carpenter,Furniture Repair/replacement,Location 3, 584.27 
04/04/2016,Appliances,Water Purifier,Location 2, 529.81 
04/06/2016,Painter,Regular Painting,Location 4, 480.85 
24/01/2016,Painter,Regular Painting,Location 2, 654.37 
16/06/2016,Electronics,Computer,Location 5, 362.96 
30/01/2016,Plumber,Toilet And Sanitary Work,Location 4, 790.37 
20/04/2016,Appliances,Refrigerator Repair,Location 5, 99.34 
24/02/2016,Plumber,Leakage,Location 9, 159.43 
05/03/2016,Electrician,Light Sockets/Holders,Location 10, 839.90 
21/03/2016,Appliances,Water Purifier,Location 7, 886.65 
18/04/2016,Carpenter,Furniture Repair/replacement,Location 6, 136.01 
10/02/2016,Painter,Regular Painting,Location 9, 508.95 
30/04/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 828.79 
16/05/2016,Plumber,Bathroom Fittings,Location 3, 529.02 
26/04/2016,Appliances,Water Coolers,Location 3, 602.85 
04/05/2016,Plumber,Bathroom Fittings,Location 8, 743.74 
08/03/2016,Electronics,Projector,Location 4, 689.96 
07/04/2016,Plumber,Leakage,Location 3, 62.66 
13/04/2016,Security Systems,Access Control,Location 1, 860.33 
15/03/2016,Plumber,Pipelines And Pumps,Location 1, 757.30 
08/03/2016,Appliances,Microwave Oven Repair,Location 2, 513.68 
26/01/2016,Lawn and Garden,Landscaping,Location 5, 979.38 
25/01/2016,Plumber,Choke Up,Location 6, 246.20 
04/04/2016,Carpenter,General Carpentry Work,Location 1, 977.18 
08/02/2016,Flooring,Stone & Tile Restoration,Location 4, 966.13 
01/02/2016,Painter,Texture Painting,Location 8, 765.17 
02/05/2016,Electronics,TV,Location 1, 259.86 
19/04/2016,Electronics,Printer,Location 4, 255.26 
30/04/2016,Carpenter,General Carpentry Work,Location 1, 843.82 
02/07/2016,Transportation,Car,Location 5, 215.94 
17/03/2016,Electrician,Tube Lights,Location 7, 281.24 
08/04/2016,Cleaning,Furniture and Furnishings,Location 3, 868.76 
13/05/2016,Plumber,Toilet And Sanitary Work,Location 9, 835.49 
31/03/2016,Carpenter,Bolt And Latch,Location 10, 598.53 
18/06/2016,Security Systems,Door Lock Systems,Location 9, 413.27 
14/02/2016,Painter,Texture Painting,Location 8, 245.08 
10/03/2016,Appliances,Refrigerator Repair,Location 10, 126.60 
21/03/2016,Carpenter,Furniture Repair/replacement,Location 8, 235.29 
09/05/2016,Plumber,Toilet And Sanitary Work,Location 6, 307.13 
07/05/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 16.99 
30/06/2016,Carpenter,Furniture Repair/replacement,Location 6, 641.84 
04/02/2016,Plumber,"Tap, Wash basin and Sink",Location 4, 98.63 
15/03/2016,Records Management,Digital Imaging,Location 4, 380.87 
19/06/2016,Plumber,Leakage,Location 7, 703.60 
08/04/2016,Plumber,Bathroom Fittings,Location 4, 368.09 
29/05/2016,Painter,Texture Painting,Location 3, 699.50 
31/01/2016,Electronics,Mobile,Location 1, 589.79 
14/06/2016,Plumber,Pipelines And Pumps,Location 3, 5.51 
12/03/2016,Painter,Texture Painting,Location 2, 71.63 
30/01/2016,Pest Control,Ant Control,Location 10, 219.22 
12/04/2016,Plumber,Toilet And Sanitary Work,Location 1, 299.31 
08/05/2016,Carpenter,General Carpentry Work,Location 2, 311.07 
01/07/2016,Electronics,Printer,Location 7, 881.75 
18/05/2016,Plumber,Leakage,Location 7, 236.75 
28/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 10, 775.74 
27/02/2016,Electronics,Computer,Location 9, 33.46 
24/03/2016,Lawn and Garden,Gardening,Location 6, 237.16 
05/05/2016,Electronics,Computer,Location 9, 135.61 
07/04/2016,Plumber,Bathroom Fittings,Location 3, 459.37 
26/01/2016,Pest Control,Wood Borer Control,Location 9, 941.89 
10/06/2016,Appliances,Water Purifier,Location 5, 122.78 
06/03/2016,Plumber,Pipelines And Pumps,Location 4, 999.61 
